14658,0,1,639,0.283333,0.300000,8.89,-1.95,3.64,-0.79,-2.13,-1.49,0,0,0,
15302,0,1,640,0.283333,0.300000,8.35,-3.28,3.94,-1.75,-1.16,-0.79,0,0,0,
16012,0,1,640,0.283333,0.300000,8.09,-3.45,4.31,-4.23,2.64,-0.68,0,0,0,
16643,0,1,638,0.283333,0.300000,8.84,-2.83,3.14,-2.13,0.91,-1.53,0,0,0,
17304,0,1,638,0.283333,0.300000,9.04,-2.76,2.57,-0.98,1.27,0.15,0,0,0,
18033,0,1,638,0.283333,0.300000,8.77,-3.23,2.95,-0.80,0.93,0.24,0,0,0,
18666,0,1,637,0.283333,0.300000,8.90,-3.50,2.15,0.61,0.43,-0.40,0,0,0,
19302,0,1,638,0.283333,0.300000,7.52,-5.66,2.72,-0.38,0.98,-0.33,0,0,0,
20033,0,1,637,0.283333,0.300000,7.51,-5.99,1.95,0.23,-0.69,-1.19,0,0,0,
20663,0,1,637,0.283333,0.300000,7.37,-6.19,1.84,-0.83,-0.02,-1.87,0,0,0,
21304,0,1,637,0.283333,0.300000,7.98,-5.36,1.92,-0.34,-0.61,-0.27,0,0,0,
22029,0,1,636,0.283333,0.300000,9.48,-2.34,-0.83,0.12,0.65,-0.56,0,0,0,
22663,0,1,636,0.283333,0.300000,9.61,-1.88,-0.36,-1.88,0.51,0.01,0,0,0,
23370,0,1,636,0.283333,0.300000,9.75,0.09,-1.01,-1.72,0.19,-0.68,0,0,0,
24025,0,1,636,0.283333,0.300000,9.73,0.35,-1.12,0.42,0.92,-1.20,0,0,0,
24651,0,1,635,0.283333,0.300000,9.80,-0.05,-0.15,0.56,-0.21,-0.42,0,0,0,
25296,0,1,633,0.283333,0.300000,9.79,0.12,-0.45,0.51,0.53,-0.06,0,0,0,
26000,0,1,633,0.283333,0.300000,9.75,0.14,-1.01,-0.44,0.57,-0.48,0,0,0,
26630,0,1,633,0.283333,0.300000,9.71,1.23,0.56,-2.02,1.00,-0.17,0,0,0,
27303,0,1,615,0.283333,0.300000,9.71,1.24,0.49,-0.25,0.16,0.33,0,0,0,
28046,0,1,243,0.283333,0.300000,9.73,0.58,1.03,1.98,0.20,-2.96,0,0,0,
28667,0,1,188,0.283333,0.300000,9.64,0.19,1.74,-2.41,-0.24,-0.97,0,0,0,
29305,0,1,138,0.283333,0.300000,9.74,-0.94,0.61,-1.90,1.24,0.63,0,0,0,
30024,0,1,120,0.283333,0.300000,9.78,0.02,-0.61,1.17,-0.67,0.55,0,0,0,
30653,0,1,152,0.283333,0.300000,9.70,-1.34,-0.38,0.26,0.55,0.05,0,0,0,
31296,0,1,138,0.283333,0.300000,9.75,-0.79,-0.58,-0.43,0.47,-0.51,0,0,0,
32046,0,1,366,0.283333,0.300000,9.68,-0.87,1.28,-1.86,-0.12,-0.83,0,0,0,
32678,0,1,474,0.283333,0.300000,9.79,-0.42,0.27,-0.51,0.39,-0.43,0,0,0,
33310,0,1,531,0.283333,0.300000,9.79,0.39,-0.23,-0.74,-0.22,-0.26,0,0,0,
34032,0,1,576,0.283333,0.300000,9.75,0.68,-0.67,-0.25,0.27,-0.17,0,0,0,
34662,0,1,597,0.283333,0.300000,9.74,0.75,-0.81,-0.02,-0.10,0.41,0,0,0,
35299,0,1,489,0.283333,0.300000,9.70,1.28,-0.61,0.38,-0.08,-0.29,0,0,0,
